Acad recording => read According two_two   
According read => recording Acad two_two   
Act Nation => Nat Action two_two   
Act Nation => Nat Action three_three   
Act notion => not Action two_two   
Act notion => not Action three_three   
Act para => par Acta three_three   
Act vision => vis Action three_three   
Acta par => para Act three_three   
Action Nat => Nation Act two_two   
Action Nat => Nation Act three_three   
Action not => notion Act two_two   
Action not => notion Act three_three   
Action vis => vision Act three_three   
Adam bed => beam Add two_two   
Adams bed => beams Add two_two   
Add beam => bed Adam two_two   
Add beams => bed Adams two_two   
Add ore => odd Are one_one   
Again che => chain Age two_two   
Age chain => che Again two_two   
Alan pre => plan Are one_one   
Ali Force => For Alice three_three   
Ali force => for Alice three_three   
Ali since => sin Alice three_three   
Alice For => Force Ali three_three   
Alice for => force Ali three_three   
Alice sin => since Ali three_three   
Alice vol => voice All two_two   
All cities => cit Allies three_three   
All eaten => eat Allen three_three   
All queen => que Allen three_three   
All voice => vol Alice two_two   
Allen End => Ellen And one_one   
Allen Eve => Ellen Ave one_one   
Allen eat => eaten All three_three   
Allen que => queen All three_three   
Alliance varies => variance Allies three_three   
Allies cit => cities All three_three   
Allies variance => varies Alliance three_three   
And Ellen => End Allen one_one   
And Eve => End Ave one_one   
And Men => Med Ann two_two   
And bay => bad Any two_two   
And gone => god Anne two_two   
And hay => had Any two_two   
And man => mad Ann two_two   
And manual => mad Annual two_two   
And may => mad Any two_two   
And min => mid Ann two_two   
And mine => mid Anne two_two   
And say => sad Any two_two   
Ann Day => Dan Any two_two   
Ann Here => Her Anne three_three   
Ann Jane => Jan Anne two_two   
Ann Jane => Jan Anne three_three   
Ann May => Man Any two_two   
Ann Med => Men And two_two   
Ann None => Non Anne two_two   
Ann None => Non Anne three_three   
Ann Note => Not Anne three_three   
Ann Same => Sam Anne three_three   
Ann bare => bar Anne three_three   
Ann cane => can Anne two_two   
Ann cane => can Anne three_three   
Ann care => car Anne three_three   
Ann come => com Anne three_three   
Ann cone => con Anne two_two   
Ann cone => con Anne three_three   
Ann fate => fat Anne three_three   
Ann guy => gun Any two_two   
Ann hate => hat Anne three_three   
Ann here => her Anne three_three   
Ann mad => man And two_two   
Ann made => mad Anne three_three   
Ann manual => man Annual two_two   
Ann manual => man Annual three_three   
Ann may => man Any two_two   
Ann mid => min And two_two   
Ann mine => min Anne two_two   
Ann mine => min Anne three_three   
Ann none => non Anne two_two   
Ann none => non Anne three_three   
Ann note => not Anne three_three   
Ann para => par Anna three_three   
Ann pay => pan Any two_two   
Ann pine => pin Anne two_two   
Ann pine => pin Anne three_three   
Ann rate => rat Anne three_three   
Ann ray => ran Any two_two   
Ann ride => rid Anne three_three   
Ann rode => rod Anne three_three   
Ann sexual => sex Annual three_three   
Ann site => sit Anne three_three   
Ann sure => sur Anne three_three   
Ann thee => the Anne three_three   
Ann tone => ton Anne two_two   
Ann tone => ton Anne three_three   
Ann visual => vis Annual three_three   
Ann wine => win Anne two_two   
Ann wine => win Anne three_three   
Anna Date => Data Anne three_three   
Anna date => data Anne three_three   
Anna par => para Ann three_three   
Anne Data => Date Anna three_three   
Anne Her => Here Ann three_three   
Anne Jan => Jane Ann two_two   
Anne Jan => Jane Ann three_three   
Anne Non => None Ann two_two   
Anne Non => None Ann three_three   
Anne Not => Note Ann three_three   
Anne Sam => Same Ann three_three   
Anne bar => bare Ann three_three   
Anne boy => bone Any two_two   
Anne can => cane Ann two_two   
Anne can => cane Ann three_three   
Anne car => care Ann three_three   
Anne casual => case Annual three_three   
Anne com => come Ann three_three   
Anne con => cone Ann two_two   
Anne con => cone Ann three_three   
Anne data => date Anna three_three   
Anne fat => fate Ann three_three   
Anne god => gone And two_two   
Anne hat => hate Ann three_three   
Anne her => here Ann three_three   
Anne mad => made Ann three_three   
Anne mid => mine And two_two   
Anne min => mine Ann two_two   
Anne min => mine Ann three_three   
Anne non => none Ann two_two   
Anne non => none Ann three_three   
Anne not => note Ann three_three   
Anne pin => pine Ann two_two   
Anne pin => pine Ann three_three   
Anne rat => rate Ann three_three   
Anne rid => ride Ann three_three   
Anne rod => rode Ann three_three   
Anne sit => site Ann three_three   
Anne sur => sure Ann three_three   
Anne the => thee Ann three_three   
Anne ton => tone Ann two_two   
Anne ton => tone Ann three_three   
Anne win => wine Ann two_two   
Anne win => wine Ann three_three   
Annual case => casual Anne three_three   
Annual mad => manual And two_two   
Annual man => manual Ann two_two   
Annual man => manual Ann three_three   
Annual may => manual Any two_two   
Annual sex => sexual Ann three_three   
Annual vis => visual Ann three_three   
Any Dan => Day Ann two_two   
Any Man => May Ann two_two   
Any bad => bay And two_two   
Any bone => boy Anne two_two   
Any gun => guy Ann two_two   
Any had => hay And two_two   
Any mad => may And two_two   
Any man => may Ann two_two   
Any manual => may Annual two_two   
Any pan => pay Ann two_two   
Any ran => ray Ann two_two   
Any sad => say And two_two   
Application implied => implication Applied two_two   
Application implied => implication Applied three_three   
Applications implied => implications Applied two_two   
Applications implied => implications Applied three_three   
Applied implication => implied Application two_two   
Applied implication => implied Application three_three   
Applied implications => implied Applications two_two   
Applied implications => implied Applications three_three   
Are odd => ore Add one_one   
Are para => par Area three_three   
Are plan => pre Alan one_one   
Are set => see Art two_two   
Are sets => see Arts two_two   
Area par => para Are three_three   
Art see => set Are two_two   
Arts see => sets Are two_two   
Ave Ellen => Eve Allen one_one   
Ave End => Eve And one_one   
Back Job => Jack Bob one_one   
Back Roy => Rock Bay two_two   
Back der => deck Bar two_two   
Back par => pack Bar one_one   
Back par => pack Bar two_two   
Back pay => pack Bay one_one   
Back pay => pack Bay two_two   
Back pen => pack Ben one_one   
Back pink => pick Bank two_two   
Back pull => pack Bull one_one   
Back put => pack But one_one   
Back sink => sick Bank two_two   
Back sir => sick Bar two_two   
Baker may => maker Bay one_one   
Baker may => maker Bay two_two   
Baker men => maker Ben one_one   
Baker mill => maker Bill one_one   
Baker mob => maker Bob one_one   
Bank pick => pink Back two_two   
Bank ray => rank Bay one_one   
Bank ray => rank Bay two_two   
Bank reach => rank Beach one_one   
Bank say => sank Bay one_one   
Bank say => sank Bay two_two   
Bank sell => sank Bell one_one   
Bank sick => sink Back two_two   
Bank silly => sank Billy one_one   
Bank sir => sink Bar two_two   
Bank sur => sunk Bar two_two   
Bank teach => tank Beach one_one   
Bank tell => tank Bell one_one   
Bank ten => tank Ben one_one   
Bank till => tank Bill one_one   
Bank took => tank Book one_one   
Bank torn => tank Born one_one   
Banks ray => ranks Bay one_one   
Banks ray => ranks Bay two_two   
